onset	duration	trial_type	value	sample	marker_index	stim_file
0.44921875	0.0	stim_test	16568	115	1	16568.jpg
0.6484375	0.0	stim_test	16569	166	2	16569.jpg
0.86328125	0.0	stim_test	16570	221	3	16570.jpg
1.06640625	0.0	stim_test	16571	273	4	16571.jpg
1.265625	0.0	stim_test	16572	324	5	16572.jpg
1.46484375	0.0	stim_test	16573	375	6	16573.jpg
1.66796875	0.0	stim_test	16574	427	7	16574.jpg
1.8828125	0.0	stim_test	16575	482	8	16575.jpg
2.09765625	0.0	stim_test	16576	537	9	16576.jpg
2.31640625	0.0	stim_test	16577	593	1	16577.jpg
2.515625	0.0	stim_test	16578	644	1	16578.jpg
2.71484375	0.0	stim_test	16579	695	1	16579.jpg
2.93359375	0.0	stim_test	16580	751	1	16580.jpg
3.1328125	0.0	stim_test	16581	802	1	16581.jpg
3.3359375	0.0	stim_test	16582	854	1	16582.jpg
3.53515625	0.0	stim_test	16583	905	1	16583.jpg
3.734375	0.0	stim_test	16584	956	1	16584.jpg
3.93359375	0.0	stim_test	16585	1007	1	16585.jpg
4.13671875	0.0	stim_test	16586	1059	1	16586.jpg
4.3515625	0.0	stim_test	16587	1114	2	16587.jpg
5.5546875	0.0	behav	3	1422	21	n/a
5.921875	0.0	stim_test	16588	1516	2	16588.jpg
6.13671875	0.0	stim_test	16589	1571	2	16589.jpg
6.35546875	0.0	stim_test	16590	1627	2	16590.jpg
6.5546875	0.0	stim_test	16591	1678	2	16591.jpg
6.76953125	0.0	stim_test	16592	1733	2	16592.jpg
6.98828125	0.0	stim_test	16593	1789	2	16593.jpg
7.1875	0.0	stim_test	16594	1840	2	16594.jpg
7.40625	0.0	stim_test	16595	1896	2	16595.jpg
7.60546875	0.0	stim_test	16596	1947	3	16596.jpg
7.82421875	0.0	stim_test	16597	2003	3	16597.jpg
8.0390625	0.0	stim_test	16598	2058	3	16598.jpg
8.23828125	0.0	stim_test	16599	2109	3	16599.jpg
8.45703125	0.0	stim_test	16600	2165	3	16600.jpg
8.65625	0.0	stim_test	16601	2216	3	16601.jpg
8.85546875	0.0	stim_test	16602	2267	3	16602.jpg
9.07421875	0.0	stim_test	16603	2323	3	16603.jpg
9.2734375	0.0	stim_test	16604	2374	3	16604.jpg
9.4921875	0.0	stim_test	16605	2430	3	16605.jpg
9.70703125	0.0	stim_test	16606	2485	4	16606.jpg
9.90625	0.0	stim_test	16607	2536	4	16607.jpg
11.15625	0.0	behav	3	2856	42	n/a
11.52734375	0.0	stim_test	16608	2951	4	16608.jpg
11.7421875	0.0	stim_test	16609	3006	4	16609.jpg
11.94140625	0.0	stim_test	16610	3057	4	16610.jpg
12.14453125	0.0	stim_test	16611	3109	4	16611.jpg
12.34375	0.0	stim_test	16612	3160	4	16612.jpg
12.546875	0.0	stim_test	16613	3212	4	16613.jpg
