onset	duration	trial_type	value	sample	marker_index	stim_file
0.58203125	0.0	stim_train	14614	149	1	14614.jpg
0.78515625	0.0	stim_train	210	201	2	00210.jpg
0.98828125	0.0	stim_train	16175	253	3	16175.jpg
1.19140625	0.0	stim_train	13017	305	4	13017.jpg
1.37890625	0.0	stim_train	575	353	5	00575.jpg
1.58203125	0.0	stim_train	3366	405	6	03366.jpg
1.78515625	0.0	stim_train	15470	457	7	15470.jpg
1.98828125	0.0	stim_train	3046	509	8	03046.jpg
2.19140625	0.0	stim_train	13188	561	9	13188.jpg
2.39453125	0.0	stim_train	1707	613	10	01707.jpg
2.58203125	0.0	stim_train	4123	661	11	04123.jpg
2.78515625	0.0	stim_train	12546	713	12	12546.jpg
2.98828125	0.0	stim_train	7920	765	13	07920.jpg
3.19140625	0.0	stim_train	3617	817	14	03617.jpg
3.39453125	0.0	stim_train	10822	869	15	10822.jpg
3.58203125	0.0	stim_train	12670	917	16	12670.jpg
3.78515625	0.0	stim_train	9002	969	17	09002.jpg
3.98828125	0.0	stim_train	14303	1021	18	14303.jpg
4.19140625	0.0	stim_train	11838	1073	19	11838.jpg
4.39453125	0.0	stim_train	11316	1125	20	11316.jpg
5.3515625	0.0	behav	3	1370	21	n/a
5.70703125	0.0	stim_train	13925	1461	22	13925.jpg
5.91015625	0.0	stim_train	10990	1513	23	10990.jpg
6.11328125	0.0	stim_train	7514	1565	24	07514.jpg
6.3046875	0.0	stim_train	11265	1614	25	11265.jpg
6.5078125	0.0	stim_train	3315	1666	26	03315.jpg
6.70703125	0.0	stim_train	9990	1717	27	09990.jpg
6.91015625	0.0	stim_train	2884	1769	28	02884.jpg
7.11328125	0.0	stim_train	5025	1821	29	05025.jpg
7.3046875	0.0	stim_train	3714	1870	30	03714.jpg
7.5078125	0.0	stim_train	7747	1922	31	07747.jpg
7.7109375	0.0	stim_train	10613	1974	32	10613.jpg
7.91015625	0.0	stim_train	11062	2025	33	11062.jpg
8.11328125	0.0	stim_train	7646	2077	34	07646.jpg
8.31640625	0.0	stim_train	9725	2129	35	09725.jpg
8.5078125	0.0	stim_train	2923	2178	36	02923.jpg
8.7109375	0.0	stim_train	6954	2230	37	06954.jpg
8.9140625	0.0	stim_train	10530	2282	38	10530.jpg
9.11328125	0.0	stim_train	13487	2333	39	13487.jpg
9.31640625	0.0	stim_train	1878	2385	40	01878.jpg
9.5078125	0.0	stim_train	3699	2434	41	03699.jpg
10.73046875	0.0	behav	3	2747	42	n/a
11.0703125	0.0	stim_train	6190	2834	43	06190.jpg
11.2578125	0.0	stim_train	7091	2882	44	07091.jpg
11.4609375	0.0	stim_train	5691	2934	45	05691.jpg
11.6640625	0.0	stim_train	2974	2986	46	02974.jpg
11.8671875	0.0	stim_train	12697	3038	47	12697.jpg
12.0703125	0.0	stim_train	929	3090	48	00929.jpg
12.2734375	0.0	stim_train	1435	3142	49	01435.jpg
12.4609375	0.0	stim_train	5941	3190	50	05941.jpg
12.6640625	0.0	stim_train	15113	3242	51	15113.jpg
12.8671875	0.0	stim_train	9648	3294	52	09648.jpg
13.0703125	0.0	stim_train	844	3346	53	00844.jpg
13.2734375	0.0	stim_train	9892	3398	54	09892.jpg
13.4609375	0.0	stim_train	9120	3446	55	09120.jpg
13.6640625	0.0	stim_train	5465	3498	56	05465.jpg
13.8671875	0.0	stim_train	3439	3550	57	03439.jpg
14.0703125	0.0	stim_train	13357	3602	58	13357.jpg
14.2734375	0.0	stim_train	267	3654	59	00267.jpg
14.4765625	0.0	stim_train	3689	3706	60	03689.jpg
14.6640625	0.0	stim_train	5226	3754	61	05226.jpg
14.8671875	0.0	stim_train	5965	3806	62	05965.jpg
15.953125	0.0	behav	3	4084	63	n/a
16.3046875	0.0	stim_train	12763	4174	64	12763.jpg
