onset	duration	trial_type	value	sample	marker_index	stim_file
0.953125	0.0	stim_test	16657	244	1	16657.jpg
1.140625	0.0	stim_test	16574	292	2	16574.jpg
1.34375	0.0	stim_test	16710	344	3	16710.jpg
1.546875	0.0	stim_test	16610	396	4	16610.jpg
1.75	0.0	stim_test	16611	448	5	16611.jpg
1.953125	0.0	stim_test	16705	500	6	16705.jpg
2.15625	0.0	stim_test	16570	552	7	16570.jpg
2.34375	0.0	stim_test	16712	600	8	16712.jpg
2.546875	0.0	stim_test	16698	652	9	16698.jpg
2.75	0.0	stim_test	16544	704	10	16544.jpg
2.953125	0.0	stim_test	16546	756	11	16546.jpg
3.15625	0.0	stim_test	16571	808	12	16571.jpg
3.34375	0.0	stim_test	16720	856	13	16720.jpg
3.546875	0.0	stim_test	16597	908	14	16597.jpg
3.75	0.0	stim_test	16573	960	15	16573.jpg
3.953125	0.0	stim_test	16718	1012	16	16718.jpg
4.15625	0.0	stim_test	16542	1064	17	16542.jpg
4.34375	0.0	stim_test	16721	1112	18	16721.jpg
4.546875	0.0	stim_test	16561	1164	19	16561.jpg
4.75	0.0	stim_test	16577	1216	20	16577.jpg
5.94140625	0.0	behav	3	1521	21	n/a
6.296875	0.0	stim_test	16661	1612	22	16661.jpg
6.5	0.0	stim_test	16605	1664	23	16605.jpg
6.703125	0.0	stim_test	16653	1716	24	16653.jpg
6.90625	0.0	stim_test	16734	1768	25	16734.jpg
7.109375	0.0	stim_test	16621	1820	26	16621.jpg
7.296875	0.0	stim_test	16732	1868	27	16732.jpg
7.5	0.0	stim_test	16612	1920	28	16612.jpg
7.703125	0.0	stim_test	16639	1972	29	16639.jpg
7.90625	0.0	stim_test	16690	2024	30	16690.jpg
8.109375	0.0	stim_test	16669	2076	31	16669.jpg
8.3125	0.0	stim_test	16614	2128	32	16614.jpg
8.5	0.0	stim_test	16729	2176	33	16729.jpg
8.703125	0.0	stim_test	16701	2228	34	16701.jpg
8.90625	0.0	stim_test	16626	2280	35	16626.jpg
9.10546875	0.0	stim_test	16736	2331	36	16736.jpg
9.30859375	0.0	stim_test	16686	2383	37	16686.jpg
9.5	0.0	stim_test	16650	2432	38	16650.jpg
9.703125	0.0	stim_test	16679	2484	39	16679.jpg
9.90625	0.0	stim_test	16699	2536	40	16699.jpg
10.109375	0.0	stim_test	16730	2588	41	16730.jpg
11.37890625	0.0	behav	3	2913	42	n/a
11.734375	0.0	stim_test	16604	3004	43	16604.jpg
11.9375	0.0	stim_test	16676	3056	44	16676.jpg
12.140625	0.0	stim_test	16640	3108	45	16640.jpg
12.34375	0.0	stim_test	16695	3160	46	16695.jpg
12.546875	0.0	stim_test	16633	3212	47	16633.jpg
12.734375	0.0	stim_test	16724	3260	48	16724.jpg
12.9375	0.0	stim_test	16569	3312	49	16569.jpg
13.140625	0.0	stim_test	16638	3364	50	16638.jpg
13.34375	0.0	stim_test	16593	3416	51	16593.jpg
13.546875	0.0	stim_test	16687	3468	52	16687.jpg
13.75	0.0	stim_test	16578	3520	53	16578.jpg
13.9375	0.0	stim_test	16616	3568	54	16616.jpg
14.140625	0.0	stim_test	16556	3620	55	16556.jpg
