onset	duration	trial_type	value	sample	marker_index	stim_file
0.93359375	0.0	stim_train	1997	239	1	01997.jpg
1.13671875	0.0	stim_train	13014	291	2	13014.jpg
1.33984375	0.0	stim_train	6716	343	3	06716.jpg
1.54296875	0.0	stim_train	14378	395	4	14378.jpg
1.73046875	0.0	stim_train	6723	443	5	06723.jpg
1.93359375	0.0	stim_train	10895	495	6	10895.jpg
2.13671875	0.0	stim_train	13313	547	7	13313.jpg
2.33984375	0.0	stim_train	9951	599	8	09951.jpg
2.54296875	0.0	stim_train	3625	651	9	03625.jpg
2.73046875	0.0	stim_train	10800	699	10	10800.jpg
2.93359375	0.0	stim_train	4902	751	11	04902.jpg
3.13671875	0.0	stim_train	1515	803	12	01515.jpg
3.33984375	0.0	stim_train	8995	855	13	08995.jpg
3.54296875	0.0	stim_train	13932	907	14	13932.jpg
3.74609375	0.0	stim_train	7972	959	15	07972.jpg
3.93359375	0.0	stim_train	1865	1007	16	01865.jpg
4.13671875	0.0	stim_train	1099	1059	17	01099.jpg
4.33984375	0.0	stim_train	5970	1111	18	05970.jpg
4.54296875	0.0	stim_train	5738	1163	19	05738.jpg
4.74609375	0.0	stim_train	12322	1215	20	12322.jpg
5.8828125	0.0	behav	3	1506	21	n/a
6.24609375	0.0	stim_train	4614	1599	22	04614.jpg
6.43359375	0.0	stim_train	966	1647	23	00966.jpg
6.63671875	0.0	stim_train	2576	1699	24	02576.jpg
6.83984375	0.0	stim_train	4328	1751	25	04328.jpg
7.04296875	0.0	stim_train	8950	1803	26	08950.jpg
7.24609375	0.0	stim_train	8284	1855	27	08284.jpg
7.44921875	0.0	stim_train	4354	1907	28	04354.jpg
7.63671875	0.0	stim_train	8211	1955	29	08211.jpg
7.83984375	0.0	stim_train	7825	2007	30	07825.jpg
8.04296875	0.0	stim_train	13180	2059	31	13180.jpg
8.24609375	0.0	stim_train	2613	2111	32	02613.jpg
8.44921875	0.0	stim_train	6065	2163	33	06065.jpg
8.63671875	0.0	stim_train	3384	2211	34	03384.jpg
8.83984375	0.0	stim_train	3283	2263	35	03283.jpg
9.04296875	0.0	stim_train	831	2315	36	00831.jpg
9.24609375	0.0	stim_train	7525	2367	37	07525.jpg
9.44921875	0.0	stim_train	13041	2419	38	13041.jpg
9.65234375	0.0	stim_train	13789	2471	39	13789.jpg
9.83984375	0.0	stim_train	14877	2519	40	14877.jpg
10.04296875	0.0	stim_train	12383	2571	41	12383.jpg
11.02734375	0.0	behav	3	2823	42	n/a
11.38671875	0.0	stim_train	5260	2915	43	05260.jpg
11.57421875	0.0	stim_train	6595	2963	44	06595.jpg
11.77734375	0.0	stim_train	14715	3015	45	14715.jpg
11.98046875	0.0	stim_train	8765	3067	46	08765.jpg
12.18359375	0.0	stim_train	4807	3119	47	04807.jpg
12.38671875	0.0	stim_train	6852	3171	48	06852.jpg
12.57421875	0.0	stim_train	10101	3219	49	10101.jpg
12.77734375	0.0	stim_train	4878	3271	50	04878.jpg
12.98046875	0.0	stim_train	13315	3323	51	13315.jpg
13.18359375	0.0	stim_train	16485	3375	52	16485.jpg
13.38671875	0.0	stim_train	9111	3427	53	09111.jpg
13.57421875	0.0	stim_train	1411	3475	54	01411.jpg
13.77734375	0.0	stim_train	7009	3527	55	07009.jpg
13.98046875	0.0	stim_train	15072	3579	56	15072.jpg
14.18359375	0.0	stim_train	2838	3631	57	02838.jpg
14.38671875	0.0	stim_train	11648	3683	58	11648.jpg
14.58984375	0.0	stim_train	10148	3735	59	10148.jpg
14.77734375	0.0	stim_train	11381	3783	60	11381.jpg
14.98046875	0.0	stim_train	9924	3835	61	09924.jpg
15.18359375	0.0	stim_train	9491	3887	62	09491.jpg
16.234375	0.0	behav	3	4156	63	n/a
16.58984375	0.0	stim_train	4236	4247	64	04236.jpg
16.77734375	0.0	stim_train	1601	4295	65	01601.jpg
16.98046875	0.0	stim_train	15637	4347	66	15637.jpg
17.18359375	0.0	stim_train	6449	4399	67	06449.jpg
17.38671875	0.0	stim_train	15586	4451	68	15586.jpg
17.5859375	0.0	stim_train	11769	4502	69	11769.jpg
17.7890625	0.0	stim_train	2982	4554	70	02982.jpg
17.9765625	0.0	stim_train	11761	4602	71	11761.jpg
18.1796875	0.0	stim_train	1662	4654	72	01662.jpg
18.3828125	0.0	stim_train	6904	4706	73	06904.jpg
18.5859375	0.0	stim_train	5067	4758	74	05067.jpg
18.7890625	0.0	stim_train	2299	4810	75	02299.jpg
18.9765625	0.0	stim_train	290	4858	76	00290.jpg
19.1796875	0.0	stim_train	16060	4910	77	16060.jpg
19.3828125	0.0	stim_train	8420	4962	78	08420.jpg
19.5859375	0.0	stim_train	2878	5014	79	02878.jpg
19.7890625	0.0	stim_train	11954	5066	80	11954.jpg
19.9921875	0.0	stim_train	15116	5118	81	15116.jpg
20.1796875	0.0	stim_train	9090	5166	82	09090.jpg
20.3828125	0.0	stim_train	12088	5218	83	12088.jpg
21.45703125	0.0	behav	3	5493	84	n/a
21.8203125	0.0	stim_train	9876	5586	85	09876.jpg
22.0234375	0.0	stim_train	9382	5638	86	09382.jpg
