onset	duration	trial_type	value	sample	marker_index	stim_file
0.94921875	0.0	stim_train	7389	243	1	07389.jpg
1.13671875	0.0	stim_train	14631	291	2	14631.jpg
1.33984375	0.0	stim_train	6753	343	3	06753.jpg
1.54296875	0.0	stim_train	9225	395	4	09225.jpg
1.74609375	0.0	stim_train	4981	447	5	04981.jpg
1.94921875	0.0	stim_train	13944	499	6	13944.jpg
2.13671875	0.0	stim_train	9027	547	7	09027.jpg
2.33984375	0.0	stim_train	7426	599	8	07426.jpg
2.54296875	0.0	stim_train	5514	651	9	05514.jpg
2.74609375	0.0	stim_train	6450	703	10	06450.jpg
2.94921875	0.0	stim_train	14670	755	11	14670.jpg
3.15234375	0.0	stim_train	6618	807	12	06618.jpg
3.33984375	0.0	stim_train	9302	855	13	09302.jpg
3.54296875	0.0	stim_train	15804	907	14	15804.jpg
3.74609375	0.0	stim_train	13642	959	15	13642.jpg
3.94921875	0.0	stim_train	11600	1011	16	11600.jpg
4.15234375	0.0	stim_train	3162	1063	17	03162.jpg
4.33984375	0.0	stim_train	11375	1111	18	11375.jpg
4.54296875	0.0	stim_train	1627	1163	19	01627.jpg
4.74609375	0.0	stim_train	1358	1215	20	01358.jpg
5.80078125	0.0	behav	3	1485	21	n/a
6.12109375	0.0	stim_train	13541	1567	22	13541.jpg
6.30859375	0.0	stim_train	9350	1615	23	09350.jpg
6.51171875	0.0	stim_train	8239	1667	24	08239.jpg
6.71484375	0.0	stim_train	3466	1719	25	03466.jpg
6.91796875	0.0	stim_train	1863	1771	26	01863.jpg
7.12109375	0.0	stim_train	11993	1823	27	11993.jpg
7.30859375	0.0	stim_train	10860	1871	28	10860.jpg
7.51171875	0.0	stim_train	12343	1923	29	12343.jpg
7.71484375	0.0	stim_train	6563	1975	30	06563.jpg
7.91796875	0.0	stim_train	12883	2027	31	12883.jpg
8.12109375	0.0	stim_train	6173	2079	32	06173.jpg
8.32421875	0.0	stim_train	14243	2131	33	14243.jpg
8.51171875	0.0	stim_train	1201	2179	34	01201.jpg
8.71484375	0.0	stim_train	12228	2231	35	12228.jpg
8.91796875	0.0	stim_train	14457	2283	36	14457.jpg
9.12109375	0.0	stim_train	14320	2335	37	14320.jpg
9.32421875	0.0	stim_train	826	2387	38	00826.jpg
9.51171875	0.0	stim_train	14579	2435	39	14579.jpg
9.71484375	0.0	stim_train	7727	2487	40	07727.jpg
9.91796875	0.0	stim_train	225	2539	41	00225.jpg
11.2265625	0.0	behav	3	2874	42	n/a
11.55859375	0.0	stim_train	1177	2959	43	01177.jpg
11.74609375	0.0	stim_train	11178	3007	44	11178.jpg
11.94921875	0.0	stim_train	5577	3059	45	05577.jpg
12.15234375	0.0	stim_train	11226	3111	46	11226.jpg
12.35546875	0.0	stim_train	10138	3163	47	10138.jpg
12.55859375	0.0	stim_train	1061	3215	48	01061.jpg
12.76171875	0.0	stim_train	11190	3267	49	11190.jpg
12.94921875	0.0	stim_train	4585	3315	50	04585.jpg
13.15234375	0.0	stim_train	11675	3367	51	11675.jpg
13.35546875	0.0	stim_train	15909	3419	52	15909.jpg
13.55859375	0.0	stim_train	9619	3471	53	09619.jpg
13.76171875	0.0	stim_train	1614	3523	54	01614.jpg
13.94921875	0.0	stim_train	5097	3571	55	05097.jpg
14.15234375	0.0	stim_train	6976	3623	56	06976.jpg
14.35546875	0.0	stim_train	8156	3675	57	08156.jpg
14.55859375	0.0	stim_train	13621	3727	58	13621.jpg
14.76171875	0.0	stim_train	9901	3779	59	09901.jpg
14.94921875	0.0	stim_train	2205	3827	60	02205.jpg
15.15234375	0.0	stim_train	11041	3879	61	11041.jpg
15.35546875	0.0	stim_train	15476	3931	62	15476.jpg
16.3828125	0.0	behav	3	4194	63	n/a
16.74609375	0.0	stim_train	1359	4287	64	01359.jpg
16.94921875	0.0	stim_train	13451	4339	65	13451.jpg
17.13671875	0.0	stim_train	8994	4387	66	08994.jpg
17.33984375	0.0	stim_train	3872	4439	67	03872.jpg
17.5390625	0.0	stim_train	5728	4490	68	05728.jpg
17.7421875	0.0	stim_train	7009	4542	69	07009.jpg
17.9453125	0.0	stim_train	15724	4594	70	15724.jpg
18.1328125	0.0	stim_train	4853	4642	71	04853.jpg
18.3359375	0.0	stim_train	15536	4694	72	15536.jpg
18.5390625	0.0	stim_train	9382	4746	73	09382.jpg
18.7421875	0.0	stim_train	1316	4798	74	01316.jpg
18.94921875	0.0	stim_train	3409	4851	75	03409.jpg
19.1328125	0.0	stim_train	8155	4898	76	08155.jpg
19.3359375	0.0	stim_train	10585	4950	77	10585.jpg
19.5390625	0.0	stim_train	11207	5002	78	11207.jpg
19.7421875	0.0	stim_train	296	5054	79	00296.jpg
19.94921875	0.0	stim_train	4392	5107	80	04392.jpg
20.15234375	0.0	stim_train	13809	5159	81	13809.jpg
20.3359375	0.0	stim_train	12338	5206	82	12338.jpg
20.5390625	0.0	stim_train	7085	5258	83	07085.jpg
21.7890625	0.0	behav	3	5578	84	n/a
22.1328125	0.0	stim_train	2923	5666	85	02923.jpg
22.32421875	0.0	stim_train	15432	5715	86	15432.jpg
22.52734375	0.0	stim_train	3001	5767	87	03001.jpg
