onset	duration	trial_type	value	sample	marker_index	stim_file
0.421875	0.0	stim_test	16565	108	1	16565.jpg
0.62109375	0.0	stim_test	16609	159	2	16609.jpg
0.8203125	0.0	stim_test	16731	210	3	16731.jpg
1.01953125	0.0	stim_test	16547	261	4	16547.jpg
1.22265625	0.0	stim_test	16564	313	5	16564.jpg
1.421875	0.0	stim_test	16600	364	6	16600.jpg
1.62109375	0.0	stim_test	16633	415	7	16633.jpg
1.8203125	0.0	stim_test	16691	466	8	16691.jpg
2.01953125	0.0	stim_test	16699	517	9	16699.jpg
2.22265625	0.0	stim_test	16718	569	10	16718.jpg
2.421875	0.0	stim_test	16589	620	11	16589.jpg
2.62109375	0.0	stim_test	16719	671	12	16719.jpg
2.82421875	0.0	stim_test	16554	723	13	16554.jpg
3.0234375	0.0	stim_test	16736	774	14	16736.jpg
3.22265625	0.0	stim_test	16717	825	15	16717.jpg
3.421875	0.0	stim_test	16607	876	16	16607.jpg
3.62109375	0.0	stim_test	16733	927	17	16733.jpg
3.82421875	0.0	stim_test	16556	979	18	16556.jpg
4.0234375	0.0	stim_test	16559	1030	19	16559.jpg
4.22265625	0.0	stim_test	16647	1081	20	16647.jpg
5.73046875	0.0	behav	3	1467	21	n/a
6.09375	0.0	stim_test	16720	1560	22	16720.jpg
6.29296875	0.0	stim_test	16629	1611	23	16629.jpg
6.4921875	0.0	stim_test	16677	1662	24	16677.jpg
6.69140625	0.0	stim_test	16693	1713	25	16693.jpg
6.89453125	0.0	stim_test	16711	1765	26	16711.jpg
7.09375	0.0	stim_test	16638	1816	27	16638.jpg
7.29296875	0.0	stim_test	16548	1867	28	16548.jpg
7.4921875	0.0	stim_test	16583	1918	29	16583.jpg
7.6953125	0.0	stim_test	16725	1970	30	16725.jpg
7.89453125	0.0	stim_test	16670	2021	31	16670.jpg
8.09375	0.0	stim_test	16606	2072	32	16606.jpg
8.296875	0.0	stim_test	16591	2124	33	16591.jpg
8.49609375	0.0	stim_test	16624	2175	34	16624.jpg
8.6953125	0.0	stim_test	16734	2226	35	16734.jpg
8.89453125	0.0	stim_test	16545	2277	36	16545.jpg
9.09765625	0.0	stim_test	16730	2329	37	16730.jpg
9.296875	0.0	stim_test	16675	2380	38	16675.jpg
9.49609375	0.0	stim_test	16543	2431	39	16543.jpg
9.6953125	0.0	stim_test	16666	2482	40	16666.jpg
9.8984375	0.0	stim_test	16686	2534	41	16686.jpg
11.3125	0.0	behav	3	2896	42	n/a
11.68359375	0.0	stim_test	16723	2991	43	16723.jpg
11.8828125	0.0	stim_test	16709	3042	44	16709.jpg
12.08203125	0.0	stim_test	16649	3093	45	16649.jpg
12.28515625	0.0	stim_test	16623	3145	46	16623.jpg
12.484375	0.0	stim_test	16549	3196	47	16549.jpg
12.68359375	0.0	stim_test	16616	3247	48	16616.jpg
12.8828125	0.0	stim_test	16669	3298	49	16669.jpg
13.0859375	0.0	stim_test	16687	3350	50	16687.jpg
13.28515625	0.0	stim_test	16563	3401	51	16563.jpg
13.484375	0.0	stim_test	16582	3452	52	16582.jpg
13.68359375	0.0	stim_test	16592	3503	53	16592.jpg
13.88671875	0.0	stim_test	16655	3555	54	16655.jpg
14.0859375	0.0	stim_test	16707	3606	55	16707.jpg
14.28515625	0.0	stim_test	16557	3657	56	16557.jpg
14.484375	0.0	stim_test	16678	3708	57	16678.jpg
14.6875	0.0	stim_test	16673	3760	58	16673.jpg
14.88671875	0.0	stim_test	16542	3811	59	16542.jpg
15.0859375	0.0	stim_test	16574	3862	60	16574.jpg
15.28515625	0.0	stim_test	16656	3913	61	16656.jpg
15.48828125	0.0	stim_test	16578	3965	62	16578.jpg
16.84375	0.0	behav	3	4312	63	n/a
17.18359375	0.0	stim_test	16566	4399	64	16566.jpg
17.390625	0.0	stim_test	16690	4452	65	16690.jpg
17.58984375	0.0	stim_test	16640	4503	66	16640.jpg
17.78515625	0.0	stim_test	16732	4553	67	16732.jpg
17.984375	0.0	stim_test	16654	4604	68	16654.jpg
18.1875	0.0	stim_test	16550	4656	69	16550.jpg
18.38671875	0.0	stim_test	16729	4707	70	16729.jpg
18.5859375	0.0	stim_test	16697	4758	71	16697.jpg
18.78515625	0.0	stim_test	16575	4809	72	16575.jpg
18.98828125	0.0	stim_test	16598	4861	73	16598.jpg
19.1875	0.0	stim_test	16593	4912	74	16593.jpg
19.390625	0.0	stim_test	16617	4964	75	16617.jpg
19.58984375	0.0	stim_test	16625	5015	76	16625.jpg
19.79296875	0.0	stim_test	16716	5067	77	16716.jpg
19.9921875	0.0	stim_test	16561	5118	78	16561.jpg
20.19140625	0.0	stim_test	16683	5169	79	16683.jpg
20.39453125	0.0	stim_test	16645	5221	80	16645.jpg
20.59375	0.0	stim_test	16688	5272	81	16688.jpg
20.7890625	0.0	stim_test	16553	5322	82	16553.jpg
20.98828125	0.0	stim_test	16555	5373	83	16555.jpg
22.37890625	0.0	behav	3	5729	84	n/a
22.7421875	0.0	stim_test	16603	5822	85	16603.jpg
22.94140625	0.0	stim_test	16610	5873	86	16610.jpg
23.140625	0.0	stim_test	16653	5924	87	16653.jpg
23.34375	0.0	stim_test	16737	5976	88	16737.jpg
23.54296875	0.0	stim_test	16584	6027	89	16584.jpg
23.7421875	0.0	stim_test	16594	6078	90	16594.jpg
23.94140625	0.0	stim_test	16695	6129	91	16695.jpg
24.140625	0.0	stim_test	16546	6180	92	16546.jpg
24.34375	0.0	stim_test	16660	6232	93	16660.jpg
24.54296875	0.0	stim_test	16642	6283	94	16642.jpg
24.74609375	0.0	stim_test	16672	6335	95	16672.jpg
24.94140625	0.0	stim_test	16696	6385	96	16696.jpg
25.14453125	0.0	stim_test	16626	6437	97	16626.jpg
25.34375	0.0	stim_test	16602	6488	98	16602.jpg
25.54296875	0.0	stim_test	16659	6539	99	16659.jpg
25.74609375	0.0	stim_test	16689	6591	100	16689.jpg
25.9453125	0.0	stim_test	16706	6642	272	16706.jpg
26.14453125	0.0	stim_test	16590	6693	273	16590.jpg
26.34375	0.0	stim_test	16585	6744	274	16585.jpg
26.546875	0.0	stim_test	16634	6796	275	16634.jpg
27.984375	0.0	behav	3	7164	276	n/a
