onset	duration	trial_type	value	sample	stim_file
0.96484375	0.0	stim_train,7788,-1,1	1	247	07788.jpg
1.16796875	0.0	stim_train,7533,-1,2	2	299	07533.jpg
1.35546875	0.0	stim_train,2847,-1,3	3	347	02847.jpg
1.55859375	0.0	stim_train,314,-1,4	4	399	00314.jpg
1.76171875	0.0	stim_train,3475,-1,5	5	451	03475.jpg
1.96484375	0.0	stim_train,4627,-1,6	6	503	04627.jpg
2.16796875	0.0	stim_train,12533,-1,7	7	555	12533.jpg
2.35546875	0.0	stim_train,4100,-1,8	8	603	04100.jpg
2.55859375	0.0	stim_train,297,-1,9	9	655	00297.jpg
2.76171875	0.0	stim_train,14443,-1,10	10	707	14443.jpg
2.96484375	0.0	stim_train,6395,-1,11	11	759	06395.jpg
3.16796875	0.0	stim_train,5233,-1,12	12	811	05233.jpg
3.37109375	0.0	stim_train,6086,-1,13	13	863	06086.jpg
3.55859375	0.0	stim_train,16365,-1,14	14	911	16365.jpg
3.76171875	0.0	stim_train,14483,-1,15	15	963	14483.jpg
3.96484375	0.0	stim_train,3806,-1,16	16	1015	03806.jpg
4.16796875	0.0	stim_train,14800,-1,17	17	1067	14800.jpg
4.37109375	0.0	stim_train,10494,-1,18	18	1119	10494.jpg
4.5625	0.0	stim_train,15882,-1,19	19	1168	15882.jpg
4.765625	0.0	stim_train,16486,-1,20	20	1220	16486.jpg
5.85546875	0.0	behav,3,-1,21	21	1499	n/a
6.1875	0.0	stim_train,14086,-1,22	22	1584	14086.jpg
6.390625	0.0	stim_train,6005,-1,23	23	1636	06005.jpg
6.59375	0.0	stim_train,15964,-1,24	24	1688	15964.jpg
6.77734375	0.0	stim_train,14808,-1,25	25	1735	14808.jpg
6.98046875	0.0	stim_train,12602,-1,26	26	1787	12602.jpg
7.1875	0.0	stim_train,12279,-1,27	27	1840	12279.jpg
7.390625	0.0	stim_train,5636,-1,28	28	1892	05636.jpg
7.59375	0.0	stim_train,11373,-1,29	29	1944	11373.jpg
7.796875	0.0	stim_train,14786,-1,30	30	1996	14786.jpg
7.98046875	0.0	stim_train,5756,-1,31	31	2043	05756.jpg
8.1875	0.0	stim_train,14246,-1,32	32	2096	14246.jpg
8.390625	0.0	stim_train,10203,-1,33	33	2148	10203.jpg
8.59375	0.0	stim_train,5500,-1,34	34	2200	05500.jpg
