onset	duration	trial_type	value	sample	marker_index	stim_file
0.94921875	0.0	stim_train	14945	243	1	14945.jpg
1.15234375	0.0	stim_train	3868	295	2	03868.jpg
1.35546875	0.0	stim_train	5294	347	3	05294.jpg
1.54296875	0.0	stim_train	7929	395	4	07929.jpg
1.74609375	0.0	stim_train	8499	447	5	08499.jpg
1.94921875	0.0	stim_train	14326	499	6	14326.jpg
2.15234375	0.0	stim_train	8488	551	7	08488.jpg
2.35546875	0.0	stim_train	11794	603	8	11794.jpg
2.54296875	0.0	stim_train	14991	651	9	14991.jpg
2.74609375	0.0	stim_train	8934	703	10	08934.jpg
2.94921875	0.0	stim_train	1707	755	11	01707.jpg
3.15234375	0.0	stim_train	13352	807	12	13352.jpg
3.35546875	0.0	stim_train	1348	859	13	01348.jpg
3.54296875	0.0	stim_train	16321	907	14	16321.jpg
3.74609375	0.0	stim_train	15468	959	15	15468.jpg
3.94921875	0.0	stim_train	8355	1011	16	08355.jpg
4.15234375	0.0	stim_train	2029	1063	17	02029.jpg
4.35546875	0.0	stim_train	12599	1115	18	12599.jpg
4.55859375	0.0	stim_train	1209	1167	19	01209.jpg
4.74609375	0.0	stim_train	16496	1215	20	16496.jpg
6.1640625	0.0	behav	3	1578	21	n/a
6.52734375	0.0	stim_train	882	1671	22	00882.jpg
6.71484375	0.0	stim_train	6240	1719	23	06240.jpg
6.91796875	0.0	stim_train	9366	1771	24	09366.jpg
7.12109375	0.0	stim_train	7410	1823	25	07410.jpg
7.32421875	0.0	stim_train	11634	1875	26	11634.jpg
7.52734375	0.0	stim_train	673	1927	27	00673.jpg
7.71484375	0.0	stim_train	8253	1975	28	08253.jpg
7.91796875	0.0	stim_train	419	2027	29	00419.jpg
8.12109375	0.0	stim_train	271	2079	30	00271.jpg
8.32421875	0.0	stim_train	14989	2131	31	14989.jpg
8.52734375	0.0	stim_train	7393	2183	32	07393.jpg
8.71875	0.0	stim_train	13571	2232	33	13571.jpg
8.91796875	0.0	stim_train	6557	2283	34	06557.jpg
9.12109375	0.0	stim_train	10269	2335	35	10269.jpg
9.32421875	0.0	stim_train	6488	2387	36	06488.jpg
9.52734375	0.0	stim_train	11165	2439	37	11165.jpg
9.73046875	0.0	stim_train	540	2491	38	00540.jpg
9.921875	0.0	stim_train	12101	2540	39	12101.jpg
10.12109375	0.0	stim_train	5297	2591	40	05297.jpg
10.32421875	0.0	stim_train	11219	2643	41	11219.jpg
11.53515625	0.0	behav	3	2953	42	n/a
11.890625	0.0	stim_train	15706	3044	43	15706.jpg
12.09375	0.0	stim_train	9637	3096	44	09637.jpg
12.296875	0.0	stim_train	2309	3148	45	02309.jpg
12.5	0.0	stim_train	11009	3200	46	11009.jpg
12.703125	0.0	stim_train	6909	3252	47	06909.jpg
12.890625	0.0	stim_train	6197	3300	48	06197.jpg
13.09375	0.0	stim_train	2004	3352	49	02004.jpg
13.296875	0.0	stim_train	7612	3404	50	07612.jpg
13.5	0.0	stim_train	381	3456	51	00381.jpg
13.703125	0.0	stim_train	8426	3508	52	08426.jpg
13.890625	0.0	stim_train	1016	3556	53	01016.jpg
14.09375	0.0	stim_train	9523	3608	54	09523.jpg
14.296875	0.0	stim_train	22	3660	55	00022.jpg
14.5	0.0	stim_train	876	3712	56	00876.jpg
14.703125	0.0	stim_train	12346	3764	57	12346.jpg
14.890625	0.0	stim_train	3110	3812	58	03110.jpg
15.09375	0.0	stim_train	9060	3864	59	09060.jpg
15.296875	0.0	stim_train	1196	3916	60	01196.jpg
15.5	0.0	stim_train	12816	3968	61	12816.jpg
15.703125	0.0	stim_train	16495	4020	62	16495.jpg
16.82421875	0.0	behav	3	4307	63	n/a
17.1875	0.0	stim_train	10686	4400	64	10686.jpg
17.38671875	0.0	stim_train	11124	4451	65	11124.jpg
17.57421875	0.0	stim_train	2392	4499	66	02392.jpg
17.77734375	0.0	stim_train	2367	4551	67	02367.jpg
17.98046875	0.0	stim_train	3897	4603	68	03897.jpg
18.18359375	0.0	stim_train	11696	4655	69	11696.jpg
18.38671875	0.0	stim_train	7356	4707	70	07356.jpg
18.57421875	0.0	stim_train	14234	4755	71	14234.jpg
18.77734375	0.0	stim_train	7780	4807	72	07780.jpg
18.98046875	0.0	stim_train	30	4859	73	00030.jpg
19.18359375	0.0	stim_train	13658	4911	74	13658.jpg
19.38671875	0.0	stim_train	10286	4963	75	10286.jpg
19.58984375	0.0	stim_train	8916	5015	76	08916.jpg
19.77734375	0.0	stim_train	13986	5063	77	13986.jpg
19.98046875	0.0	stim_train	13956	5115	78	13956.jpg
20.18359375	0.0	stim_train	474	5167	79	00474.jpg
20.38671875	0.0	stim_train	11382	5219	80	11382.jpg
20.58984375	0.0	stim_train	8438	5271	81	08438.jpg
20.77734375	0.0	stim_train	2722	5319	82	02722.jpg
20.98046875	0.0	stim_train	11913	5371	83	11913.jpg
22.19140625	0.0	behav	3	5681	84	n/a
22.55859375	0.0	stim_train	8246	5775	85	08246.jpg
22.74609375	0.0	stim_train	15503	5823	86	15503.jpg
22.94921875	0.0	stim_train	14641	5875	87	14641.jpg
23.15234375	0.0	stim_train	5735	5927	88	05735.jpg
23.35546875	0.0	stim_train	1103	5979	89	01103.jpg
23.55859375	0.0	stim_train	2782	6031	90	02782.jpg
23.74609375	0.0	stim_train	13459	6079	91	13459.jpg
23.94921875	0.0	stim_train	14163	6131	92	14163.jpg
24.15234375	0.0	stim_train	7922	6183	93	07922.jpg
24.35546875	0.0	stim_train	15731	6235	94	15731.jpg
24.55859375	0.0	stim_train	9419	6287	95	09419.jpg
24.76171875	0.0	stim_train	9174	6339	96	09174.jpg
24.94921875	0.0	stim_train	1284	6387	97	01284.jpg
25.15234375	0.0	stim_train	16022	6439	98	16022.jpg
25.35546875	0.0	stim_train	2330	6491	99	02330.jpg
25.55859375	0.0	stim_train	7759	6543	100	07759.jpg
25.76171875	0.0	stim_train	6523	6595	377	06523.jpg
25.94921875	0.0	stim_train	11586	6643	378	11586.jpg
26.15234375	0.0	stim_train	5256	6695	379	05256.jpg
26.35546875	0.0	stim_train	7370	6747	380	07370.jpg
27.5078125	0.0	behav	3	7042	381	n/a
27.87109375	0.0	stim_train	10004	7135	382	10004.jpg
28.07421875	0.0	stim_train	10089	7187	383	10089.jpg
28.27734375	0.0	stim_train	6583	7239	384	06583.jpg
28.48046875	0.0	stim_train	1451	7291	385	01451.jpg
28.66796875	0.0	stim_train	13201	7339	386	13201.jpg
28.87109375	0.0	stim_train	7435	7391	387	07435.jpg
29.07421875	0.0	stim_train	2906	7443	388	02906.jpg
29.27734375	0.0	stim_train	11431	7495	389	11431.jpg
29.48046875	0.0	stim_train	152	7547	390	00152.jpg
29.68359375	0.0	stim_train	13267	7599	391	13267.jpg
29.87109375	0.0	stim_train	5331	7647	392	05331.jpg
30.07421875	0.0	stim_train	10591	7699	393	10591.jpg
30.27734375	0.0	stim_train	8808	7751	394	08808.jpg
30.48046875	0.0	stim_train	4920	7803	395	04920.jpg
30.68359375	0.0	stim_train	5472	7855	396	05472.jpg
30.87109375	0.0	stim_train	1230	7903	397	01230.jpg
31.07421875	0.0	stim_train	5738	7955	398	05738.jpg
31.27734375	0.0	stim_train	10450	8007	399	10450.jpg
