onset	duration	trial_type	value	sample	stim_file
1.06640625	0.0	stim_train,3477,-1,1	1	273	03477.jpg
1.26953125	0.0	stim_train,11934,-1,2	2	325	11934.jpg
1.47265625	0.0	stim_train,9592,-1,3	3	377	09592.jpg
1.67578125	0.0	stim_train,121,-1,4	4	429	00121.jpg
1.859375	0.0	stim_train,8485,-1,5	5	476	08485.jpg
2.06640625	0.0	stim_train,12252,-1,6	6	529	12252.jpg
2.26953125	0.0	stim_train,11561,-1,7	7	581	11561.jpg
2.47265625	0.0	stim_train,11762,-1,8	8	633	11762.jpg
2.67578125	0.0	stim_train,6942,-1,9	9	685	06942.jpg
2.87890625	0.0	stim_train,1723,-1,10	10	737	01723.jpg
3.06640625	0.0	stim_train,2917,-1,11	11	785	02917.jpg
3.26953125	0.0	stim_train,2199,-1,12	12	837	02199.jpg
3.47265625	0.0	stim_train,8104,-1,13	13	889	08104.jpg
3.67578125	0.0	stim_train,2907,-1,14	14	941	02907.jpg
3.87890625	0.0	stim_train,6006,-1,15	15	993	06006.jpg
4.06640625	0.0	stim_train,5471,-1,16	16	1041	05471.jpg
4.26953125	0.0	stim_train,13610,-1,17	17	1093	13610.jpg
4.47265625	0.0	stim_train,5023,-1,18	18	1145	05023.jpg
4.67578125	0.0	stim_train,9648,-1,19	19	1197	09648.jpg
4.87890625	0.0	stim_train,2922,-1,20	20	1249	02922.jpg
6.0078125	0.0	behav,3,-1,21	21	1538	n/a
6.36328125	0.0	stim_train,11705,-1,22	22	1629	11705.jpg
6.55078125	0.0	stim_train,7154,-1,23	23	1677	07154.jpg
6.75390625	0.0	stim_train,15547,-1,24	24	1729	15547.jpg
6.95703125	0.0	stim_train,11966,-1,25	25	1781	11966.jpg
7.16015625	0.0	stim_train,660,-1,26	26	1833	00660.jpg
7.36328125	0.0	stim_train,11765,-1,27	27	1885	11765.jpg
7.56640625	0.0	stim_train,16390,-1,28	28	1937	16390.jpg
7.75390625	0.0	stim_train,15200,-1,29	29	1985	15200.jpg
7.95703125	0.0	stim_train,11954,-1,30	30	2037	11954.jpg
8.16015625	0.0	stim_train,565,-1,31	31	2089	00565.jpg
8.36328125	0.0	stim_train,10218,-1,32	32	2141	10218.jpg
8.56640625	0.0	stim_train,13762,-1,33	33	2193	13762.jpg
8.76953125	0.0	stim_train,15998,-1,34	34	2245	15998.jpg
8.95703125	0.0	stim_train,9414,-1,35	35	2293	09414.jpg
9.16015625	0.0	stim_train,13389,-1,36	36	2345	13389.jpg
9.36328125	0.0	stim_train,1826,-1,37	37	2397	01826.jpg
9.56640625	0.0	stim_train,7257,-1,38	38	2449	07257.jpg
9.76953125	0.0	stim_train,15780,-1,39	39	2501	15780.jpg
9.95703125	0.0	stim_train,10792,-1,40	40	2549	10792.jpg
10.16015625	0.0	stim_train,7796,-1,41	41	2601	07796.jpg
11.390625	0.0	behav,3,-1,42	42	2916	n/a
11.75390625	0.0	stim_train,10606,-1,43	43	3009	10606.jpg
11.94140625	0.0	stim_train,2583,-1,44	44	3057	02583.jpg
12.14453125	0.0	stim_train,4019,-1,45	45	3109	04019.jpg
12.34765625	0.0	stim_train,487,-1,46	46	3161	00487.jpg
12.55078125	0.0	stim_train,1225,-1,47	47	3213	01225.jpg
12.75390625	0.0	stim_train,6832,-1,48	48	3265	06832.jpg
12.94140625	0.0	stim_train,508,-1,49	49	3313	00508.jpg
13.14453125	0.0	stim_train,14954,-1,50	50	3365	14954.jpg
13.34765625	0.0	stim_train,3764,-1,51	51	3417	03764.jpg
13.55078125	0.0	stim_train,11810,-1,52	52	3469	11810.jpg
13.75390625	0.0	stim_train,15,-1,53	53	3521	00015.jpg
13.95703125	0.0	stim_train,11139,-1,54	54	3573	11139.jpg
14.14453125	0.0	stim_train,2455,-1,55	55	3621	02455.jpg
14.34765625	0.0	stim_train,9484,-1,56	56	3673	09484.jpg
14.55078125	0.0	stim_train,4973,-1,57	57	3725	04973.jpg
14.75390625	0.0	stim_train,9884,-1,58	58	3777	09884.jpg
14.95703125	0.0	stim_train,5855,-1,59	59	3829	05855.jpg
15.14453125	0.0	stim_train,15606,-1,60	60	3877	15606.jpg
15.34765625	0.0	stim_train,3290,-1,61	61	3929	03290.jpg
15.55078125	0.0	stim_train,872,-1,62	62	3981	00872.jpg
16.75390625	0.0	behav,3,-1,63	63	4289	n/a
17.09765625	0.0	stim_train,2614,-1,64	64	4377	02614.jpg
17.30078125	0.0	stim_train,509,-1,65	65	4429	00509.jpg
17.50390625	0.0	stim_train,8030,-1,66	66	4481	08030.jpg
17.70703125	0.0	stim_train,4781,-1,67	67	4533	04781.jpg
17.91015625	0.0	stim_train,6400,-1,68	68	4585	06400.jpg
18.09765625	0.0	stim_train,14436,-1,69	69	4633	14436.jpg
18.30078125	0.0	stim_train,11542,-1,70	70	4685	11542.jpg
18.50390625	0.0	stim_train,10387,-1,71	71	4737	10387.jpg
18.70703125	0.0	stim_train,5365,-1,72	72	4789	05365.jpg
