onset	duration	trial_type	value	sample	marker_index	stim_file
0.94140625	0.0	stim_train	3143	241	1	03143.jpg
1.14453125	0.0	stim_train	9025	293	2	09025.jpg
1.33203125	0.0	stim_train	9894	341	3	09894.jpg
1.53515625	0.0	stim_train	6416	393	4	06416.jpg
1.73828125	0.0	stim_train	13774	445	5	13774.jpg
1.94140625	0.0	stim_train	3842	497	6	03842.jpg
2.14453125	0.0	stim_train	43	549	7	00043.jpg
2.33203125	0.0	stim_train	12020	597	8	12020.jpg
2.53515625	0.0	stim_train	12063	649	9	12063.jpg
2.73828125	0.0	stim_train	2886	701	10	02886.jpg
2.94140625	0.0	stim_train	2239	753	11	02239.jpg
3.14453125	0.0	stim_train	489	805	12	00489.jpg
3.34765625	0.0	stim_train	11563	857	13	11563.jpg
3.53515625	0.0	stim_train	3952	905	14	03952.jpg
3.73828125	0.0	stim_train	9390	957	15	09390.jpg
3.94140625	0.0	stim_train	6905	1009	16	06905.jpg
4.14453125	0.0	stim_train	5430	1061	17	05430.jpg
4.34765625	0.0	stim_train	11478	1113	18	11478.jpg
4.53515625	0.0	stim_train	10689	1161	19	10689.jpg
4.73828125	0.0	stim_train	4944	1213	20	04944.jpg
5.75390625	0.0	behav	3	1473	21	n/a
6.11328125	0.0	stim_train	8655	1565	22	08655.jpg
6.31640625	0.0	stim_train	1842	1617	23	01842.jpg
6.50390625	0.0	stim_train	14816	1665	24	14816.jpg
6.70703125	0.0	stim_train	13505	1717	25	13505.jpg
6.91015625	0.0	stim_train	6827	1769	26	06827.jpg
7.11328125	0.0	stim_train	8419	1821	27	08419.jpg
7.31640625	0.0	stim_train	9169	1873	28	09169.jpg
7.50390625	0.0	stim_train	8434	1921	29	08434.jpg
7.70703125	0.0	stim_train	11962	1973	30	11962.jpg
7.91015625	0.0	stim_train	9443	2025	31	09443.jpg
8.11328125	0.0	stim_train	10638	2077	32	10638.jpg
8.31640625	0.0	stim_train	12642	2129	33	12642.jpg
8.51953125	0.0	stim_train	15184	2181	34	15184.jpg
8.70703125	0.0	stim_train	9468	2229	35	09468.jpg
8.91015625	0.0	stim_train	12373	2281	36	12373.jpg
9.11328125	0.0	stim_train	10404	2333	37	10404.jpg
9.31640625	0.0	stim_train	10835	2385	38	10835.jpg
9.51953125	0.0	stim_train	5090	2437	39	05090.jpg
9.70703125	0.0	stim_train	12273	2485	40	12273.jpg
9.91015625	0.0	stim_train	13287	2537	41	13287.jpg
11.26953125	0.0	behav	3	2885	42	n/a
11.62890625	0.0	stim_train	6290	2977	43	06290.jpg
11.83203125	0.0	stim_train	5612	3029	44	05612.jpg
12.03515625	0.0	stim_train	3546	3081	45	03546.jpg
12.23828125	0.0	stim_train	1273	3133	46	01273.jpg
12.42578125	0.0	stim_train	4281	3181	47	04281.jpg
12.62890625	0.0	stim_train	10313	3233	48	10313.jpg
12.83203125	0.0	stim_train	13355	3285	49	13355.jpg
13.03515625	0.0	stim_train	6968	3337	50	06968.jpg
13.23828125	0.0	stim_train	12076	3389	51	12076.jpg
13.44140625	0.0	stim_train	14944	3441	52	14944.jpg
13.62890625	0.0	stim_train	14015	3489	53	14015.jpg
13.83203125	0.0	stim_train	11495	3541	54	11495.jpg
14.03515625	0.0	stim_train	13397	3593	55	13397.jpg
14.23828125	0.0	stim_train	8458	3645	56	08458.jpg
14.44140625	0.0	stim_train	5136	3697	57	05136.jpg
14.62890625	0.0	stim_train	15600	3745	58	15600.jpg
14.83203125	0.0	stim_train	13371	3797	59	13371.jpg
15.03515625	0.0	stim_train	15301	3849	60	15301.jpg
15.23828125	0.0	stim_train	15449	3901	61	15449.jpg
15.44140625	0.0	stim_train	8502	3953	62	08502.jpg
16.43359375	0.0	behav	3	4207	63	n/a
16.76953125	0.0	stim_train	2984	4293	64	02984.jpg
16.97265625	0.0	stim_train	3970	4345	65	03970.jpg
17.1796875	0.0	stim_train	7838	4398	66	07838.jpg
17.3828125	0.0	stim_train	6766	4450	67	06766.jpg
17.56640625	0.0	stim_train	3395	4497	68	03395.jpg
17.76953125	0.0	stim_train	4149	4549	69	04149.jpg
17.96875	0.0	stim_train	6996	4600	70	06996.jpg
18.17578125	0.0	stim_train	10080	4653	71	10080.jpg
18.37890625	0.0	stim_train	15433	4705	72	15433.jpg
18.5625	0.0	stim_train	1968	4752	73	01968.jpg
18.765625	0.0	stim_train	15494	4804	74	15494.jpg
18.96875	0.0	stim_train	4484	4856	75	04484.jpg
19.17578125	0.0	stim_train	5027	4909	76	05027.jpg
19.37890625	0.0	stim_train	13889	4961	77	13889.jpg
19.5625	0.0	stim_train	6434	5008	78	06434.jpg
19.765625	0.0	stim_train	2990	5060	79	02990.jpg
19.96875	0.0	stim_train	12195	5112	80	12195.jpg
20.17578125	0.0	stim_train	5779	5165	81	05779.jpg
20.37890625	0.0	stim_train	7232	5217	82	07232.jpg
20.58203125	0.0	stim_train	4148	5269	83	04148.jpg
21.8203125	0.0	behav	3	5586	84	n/a
22.17578125	0.0	stim_train	2949	5677	85	02949.jpg
22.37890625	0.0	stim_train	3827	5729	86	03827.jpg
22.58203125	0.0	stim_train	7494	5781	87	07494.jpg
22.765625	0.0	stim_train	15128	5828	88	15128.jpg
22.96875	0.0	stim_train	71	5880	89	00071.jpg
23.17578125	0.0	stim_train	6519	5933	90	06519.jpg
23.37890625	0.0	stim_train	12014	5985	91	12014.jpg
23.58203125	0.0	stim_train	5296	6037	92	05296.jpg
23.78515625	0.0	stim_train	635	6089	93	00635.jpg
23.96875	0.0	stim_train	14249	6136	94	14249.jpg
24.17578125	0.0	stim_train	6366	6189	95	06366.jpg
24.37890625	0.0	stim_train	13686	6241	96	13686.jpg
24.58203125	0.0	stim_train	4553	6293	97	04553.jpg
24.78515625	0.0	stim_train	15286	6345	98	15286.jpg
24.97265625	0.0	stim_train	9087	6393	99	09087.jpg
25.17578125	0.0	stim_train	637	6445	100	00637.jpg
25.37890625	0.0	stim_train	6758	6497	377	06758.jpg
25.58203125	0.0	stim_train	1060	6549	378	01060.jpg
25.78515625	0.0	stim_train	1859	6601	379	01859.jpg
25.97265625	0.0	stim_train	7786	6649	380	07786.jpg
27.453125	0.0	behav	3	7028	381	n/a
27.81640625	0.0	stim_train	8157	7121	382	08157.jpg
28.01953125	0.0	stim_train	15059	7173	383	15059.jpg
28.22265625	0.0	stim_train	5184	7225	384	05184.jpg
28.41015625	0.0	stim_train	6077	7273	385	06077.jpg
28.61328125	0.0	stim_train	16433	7325	386	16433.jpg
28.81640625	0.0	stim_train	4143	7377	387	04143.jpg
29.01953125	0.0	stim_train	15418	7429	388	15418.jpg
29.22265625	0.0	stim_train	4214	7481	389	04214.jpg
29.41015625	0.0	stim_train	11087	7529	390	11087.jpg
29.61328125	0.0	stim_train	10003	7581	391	10003.jpg
29.81640625	0.0	stim_train	7346	7633	392	07346.jpg
30.01953125	0.0	stim_train	787	7685	393	00787.jpg
30.22265625	0.0	stim_train	4007	7737	394	04007.jpg
30.41015625	0.0	stim_train	13995	7785	395	13995.jpg
30.61328125	0.0	stim_train	7283	7837	396	07283.jpg
